	region1	region2	chrom1	start1	end1	chrom2	start2	end2	contact_pair	dist_from_diag	pixel_size	gene1	gene2
26	('chr5', 3560000, 3610000)	('chr5', 159060000, 159110000)	chr5	3560000	3610000	chr5	159060000	159110000	(('chr5', 3560000, 3610000), ('chr5', 159060000, 159110000))	155500000.0	2500000000	IRX1	EBF1,LINC02202
27	('chr14', 37570000, 37620000)	('chr14', 60630000, 60670000)	chr14	37570000	37620000	chr14	60630000	60670000	(('chr14', 37570000, 37620000), ('chr14', 60630000, 60670000))	23055000.0	2000000000	FOXA1,TTC6	SIX1,SALRNA1
28	('chr18', 900000, 915000)	('chr18', 57400000, 57460000)	chr18	900000	915000	chr18	57400000	57460000	(('chr18', 900000, 915000), ('chr18', 57400000, 57460000))	56522500.0	900000000	ADCYAP1,AP000894.2	ONECUT2,AC090340.1
30	('chr5', 3560000, 3610000)	('chr5', 55220000, 55230000)	chr5	3560000	3610000	chr5	55220000	55230000	(('chr5', 3560000, 3610000), ('chr5', 55220000, 55230000))	51640000.0	500000000	IRX1	MCIDAS,CCNO,AC026704.1
31	('chr6', 27860000, 27890000)	('chr6', 108100000, 108180000)	chr6	27860000	27890000	chr6	108100000	108180000	(('chr6', 27860000, 27890000), ('chr6', 108100000, 108180000))	80265000.0	2400000000	HIST1H3L,HIST1H3I,HIST1H1B,HIST1H2BPS2	OSTM1,ASTM1-AS1,NR2E1
32	('chr5', 55220000, 55230000)	('chr5', 159060000, 159110000)	chr5	55220000	55230000	chr5	159060000	159110000	(('chr5', 55220000, 55230000), ('chr5', 159060000, 159110000))	103860000.0	500000000	MCIDAS,CCNO,AC026704.1	EBF1,LINC02202
33	('chr6', 84730000, 84780000)	('chr6', 117250000, 117280000)	chr6	84730000	84780000	chr6	117250000	117280000	(('chr6', 84730000, 84780000), ('chr6', 117250000, 117280000))	32510000.0	1500000000	TBX18	VGLL2
34	('chr6', 1360000, 1410000)	('chr6', 5990000, 6010000)	chr6	1360000	1410000	chr6	5990000	6010000	(('chr6', 1360000, 1410000), ('chr6', 5990000, 6010000))	4615000.0	1000000000	FOXF2	NRN1
35	('chr6', 26230000, 26330000)	('chr6', 84730000, 84780000)	chr6	26230000	26330000	chr6	84730000	84780000	(('chr6', 26230000, 26330000), ('chr6', 84730000, 84780000))	58475000.0	5000000000	HIST1H1D,HIST1H4F,HIST1H4G,HIST1H3F,HIST1H2BH,HIST1H3G,HIST1H2BI,HIST1H4H	TBX18
36	('chr1', 75120000, 75140000)	('chr1', 180230000, 180240000)	chr1	75120000	75140000	chr1	180230000	180240000	(('chr1', 75120000, 75140000), ('chr1', 180230000, 180240000))	105105000.0	200000000	LHX8,AC099786.2,AC099786.3	LHX4
37	('chr3', 62350000, 62380000)	('chr3', 169120000, 169155000)	chr3	62350000	62380000	chr3	169120000	169155000	(('chr3', 62350000, 62380000), ('chr3', 169120000, 169155000))	106772500.0	1050000000	FEZF2	MECOM
38	('chr11', 27720000, 27730000)	('chr11', 44290000, 44340000)	chr11	27720000	27730000	chr11	44290000	44340000	(('chr11', 27720000, 27730000), ('chr11', 44290000, 44340000))	16590000.0	500000000	BDNF	ALX4
39	('chr7', 20760000, 20800000)	('chr7', 129780000, 129790000)	chr7	20760000	20800000	chr7	129780000	129790000	(('chr7', 20760000, 20800000), ('chr7', 129780000, 129790000))	109005000.0	400000000	SP8	MIR96,MIR182,AC084864.1
40	('chr1', 165350000, 165360000)	('chr1', 200030000, 200040000)	chr1	165350000	165360000	chr1	200030000	200040000	(('chr1', 165350000, 165360000), ('chr1', 200030000, 200040000))	34680000.0	100000000	LMX1A	NR5A2,RNU6-570P
41	('chr10', 23170000, 23200000)	('chr10', 118230000, 118240000)	chr10	23170000	23200000	chr10	118230000	118240000	(('chr10', 23170000, 23200000), ('chr10', 118230000, 118240000))	95050000.0	300000000	PTF1A	AL354863.1
42	('chr1', 46480000, 46490000)	('chr1', 50415000, 50430000)	chr1	46480000	46490000	chr1	50415000	50430000	(('chr1', 46480000, 46490000), ('chr1', 50415000, 50430000))	3937500.0	150000000	-	DMRTA2,AL049637.2
43	('chr11', 20580000, 20620000)	('chr11', 31790000, 31830000)	chr11	20580000	20620000	chr11	31790000	31830000	(('chr11', 20580000, 20620000), ('chr11', 31790000, 31830000))	11210000.0	1600000000	SLC6A5	PAX6,PAUPAR
44	('chr1', 75120000, 75140000)	('chr1', 165350000, 165360000)	chr1	75120000	75140000	chr1	165350000	165360000	(('chr1', 75120000, 75140000), ('chr1', 165350000, 165360000))	90225000.0	200000000	LHX8,AC099786.2,AC099786.3	LMX1A
45	('chr7', 20760000, 20800000)	('chr7', 27080000, 27260000)	chr7	20760000	20800000	chr7	27080000	27260000	(('chr7', 20760000, 20800000), ('chr7', 27080000, 27260000))	6390000.0	7200000000	SP8	HOXA1,HOXA2,HOXA3,HOXA4,HOXA5,HOXA6,HOXA7,HOXA9,HOXA10,HOXA11,HOXA13,RF01975,HOTAIRM1,RF01976,RF01979,HOXA-AS2,HOXA-AS3,AC004080.6,AC004080.5,AC004080.4,HOXA10-AS,AC004080.3,HOXA11-AS,RF02142,AC004080.2,RF02040,HOTTIP,RF02043
46	('chr2', 44930000, 44940000)	('chr2', 206250000, 206285000)	chr2	44930000	44940000	chr2	206250000	206285000	(('chr2', 44930000, 44940000), ('chr2', 206250000, 206285000))	161332500.0	350000000	SIX3,SIX3-AS1,LINC01833	ZDBF2,HMGN1P6
47	('chr2', 181680000, 181690000)	('chr2', 206250000, 206285000)	chr2	181680000	181690000	chr2	206250000	206285000	(('chr2', 181680000, 181690000), ('chr2', 206250000, 206285000))	24582500.0	350000000	CERKL,NEUROD1	ZDBF2,HMGN1P6
48	('chr5', 154455000, 154505000)	('chr5', 173220000, 173260000)	chr5	154455000	154505000	chr5	173220000	173260000	(('chr5', 154455000, 154505000), ('chr5', 173220000, 173260000))	18760000.0	2000000000	HAND1,AC026688.2	NKX2-5
49	('chr2', 181680000, 181690000)	('chr2', 236155000, 236185000)	chr2	181680000	181690000	chr2	236155000	236185000	(('chr2', 181680000, 181690000), ('chr2', 236155000, 236185000))	54485000.0	300000000	CERKL,NEUROD1	GBX2,AC019068.1
50	('chr2', 156315000, 156345000)	('chr2', 176060000, 176170000)	chr2	156315000	156345000	chr2	176060000	176170000	(('chr2', 156315000, 156345000), ('chr2', 176060000, 176170000))	19785000.0	3300000000	NR4A2,AC074099.1	HOXD1,HOXD2,HOXD3,HOXD4,HOXD8,HOXD9,HOXD10,HOXD11,HOXD12,HOXD13,EVX2,HALGR,HALGROS
51	('chr6', 125730000, 125740000)	('chr6', 133230000, 133250000)	chr6	125730000	125740000	chr6	133230000	133250000	(('chr6', 125730000, 125740000), ('chr6', 133230000, 133250000))	7505000.0	200000000	HEY2, AL365259.1	EYA4
52	('chr4', 41730000, 41760000)	('chr4', 173490000, 173550000)	chr4	41730000	41760000	chr4	173490000	173550000	(('chr4', 41730000, 41760000), ('chr4', 173490000, 173550000))	131775000.0	1800000000	PHOX2B,AC105389.1	HAND2,HAND2-AS1,SCRG1
53	('chr7', 20760000, 20800000)	('chr7', 35230000, 35260000)	chr7	20760000	20800000	chr7	35230000	35260000	(('chr7', 20760000, 20800000), ('chr7', 35230000, 35260000))	14465000.0	1200000000	SP8	TBX20,AC009531.1
54	('chr6', 26230000, 26330000)	('chr6', 50820000, 50850000)	chr6	26230000	26330000	chr6	50820000	50850000	(('chr6', 26230000, 26330000), ('chr6', 50820000, 50850000))	24555000.0	3000000000	HIST1H1D,HIST1H4F,HIST1H4G,HIST1H3F,HIST1H2BH,HIST1H3G,HIST1H2BI,HIST1H4H	TFAP2B
55	('chr9', 21960000, 22010000)	('chr9', 132400000, 132600000)	chr9	21960000	22010000	chr9	132400000	132600000	(('chr9', 21960000, 22010000), ('chr9', 132400000, 132600000))	110515000.0	10000000000	CDKN2A,CDKN2A-DT,AL359922.1	TTF1,RNU5D-2P,CFAP77,BARHL1
56	('chr5', 52780000, 52790000)	('chr5', 135020000, 135045000)	chr5	52780000	52790000	chr5	135020000	135045000	(('chr5', 52780000, 52790000), ('chr5', 135020000, 135045000))	82247500.0	250000000	PELO	PITX1,C5orf66,AC008406.3
57	('chr6', 27260000, 27300000)	('chr6', 104920000, 104960000)	chr6	27260000	27300000	chr6	104920000	104960000	(('chr6', 27260000, 27300000), ('chr6', 104920000, 104960000))	77660000.0	1600000000	AL021808.1	LIN28B,LIN28B-AS1
58	('chr1', 90710000, 90735000)	('chr1', 229490000, 229500000)	chr1	90710000	90735000	chr1	229490000	229500000	(('chr1', 90710000, 90735000), ('chr1', 229490000, 229500000))	138772500.0	250000000	BARHL2	NUP133
59	('chr8', 23680000, 23730000)	('chr8', 96130000, 96170000)	chr8	23680000	23730000	chr8	96130000	96170000	(('chr8', 23680000, 23730000), ('chr8', 96130000, 96170000))	72445000.0	2000000000	NKX2-6,AC012574.1	GDF6
60	('chr11', 44290000, 44340000)	('chr11', 128670000, 128710000)	chr11	44290000	44340000	chr11	128670000	128710000	(('chr11', 44290000, 44340000), ('chr11', 128670000, 128710000))	84375000.0	2000000000	ALX4	FLI1,SENCR,AP001122.1
61	('chr14', 56790000, 56830000)	('chr14', 60470000, 60520000)	chr14	56790000	56830000	chr14	60470000	60520000	(('chr14', 56790000, 56830000), ('chr14', 60470000, 60520000))	3685000.0	2000000000	OTX2	SIX6,C14orf39,AL049874.3
62	('chr2', 63050000, 63060000)	('chr2', 206250000, 206285000)	chr2	63050000	63060000	chr2	206250000	206285000	(('chr2', 63050000, 63060000), ('chr2', 206250000, 206285000))	143212500.0	350000000	OTX1	ZDBF2,HMGN1P6
63	('chr16', 73040000, 73080000)	('chr16', 86555000, 86585000)	chr16	73040000	73080000	chr16	86555000	86585000	(('chr16', 73040000, 73080000), ('chr16', 86555000, 86585000))	13510000.0	1200000000	ZFHX3,AC116667.2	FOXC2,FOXL1,FOXC2-AS1
64	('chr4', 54220000, 54230000)	('chr4', 110600000, 110660000)	chr4	54220000	54230000	chr4	110600000	110660000	(('chr4', 54220000, 54230000), ('chr4', 110600000, 110660000))	56405000.0	600000000	PDGFRA	PITX2,PANCR
65	('chr7', 96980000, 97040000)	('chr7', 156990000, 157040000)	chr7	96980000	97040000	chr7	156990000	157040000	(('chr7', 96980000, 97040000), ('chr7', 156990000, 157040000))	60005000.0	3000000000	DLX5,DLX6,DLX6-AS1	MNX1,MNX1-AS1
66	('chr2', 19350000, 19360000)	('chr2', 172075000, 172115000)	chr2	19350000	19360000	chr2	172075000	172115000	(('chr2', 19350000, 19360000), ('chr2', 172075000, 172115000))	152740000.0	400000000	OSR1	DLX1,DLX2
67	('chr11', 20140000, 20180000)	('chr11', 128670000, 128710000)	chr11	20140000	20180000	chr11	128670000	128710000	(('chr11', 20140000, 20180000), ('chr11', 128670000, 128710000))	108530000.0	1600000000	DBX1	FLI1,SENCR,AP001122.1
68	('chr6', 50700000, 50730000)	('chr6', 149910000, 149990000)	chr6	50700000	50730000	chr6	149910000	149990000	(('chr6', 50700000, 50730000), ('chr6', 149910000, 149990000))	99235000.0	2400000000	TFAP2D	ULBP1,AL355497.1
69	('chr2', 44930000, 44940000)	('chr2', 222250000, 222318000)	chr2	44930000	44940000	chr2	222250000	222318000	(('chr2', 44930000, 44940000), ('chr2', 222250000, 222318000))	177349000.0	680000000	SIX3,SIX3-AS1,LINC01833	PAX3,CCDC140
70	('chr6', 27260000, 27300000)	('chr6', 50700000, 50730000)	chr6	27260000	27300000	chr6	50700000	50730000	(('chr6', 27260000, 27300000), ('chr6', 50700000, 50730000))	23435000.0	1200000000	AL021808.1	TFAP2D
71	('chr2', 72910000, 72920000)	('chr2', 199450000, 199480000)	chr2	72910000	72920000	chr2	199450000	199480000	(('chr2', 72910000, 72920000), ('chr2', 199450000, 199480000))	126550000.0	300000000	EMX1	SATB2,SATB2-AS1
72	('chr2', 5690000, 5700000)	('chr2', 218990000, 219000000)	chr2	5690000	5700000	chr2	218990000	219000000	(('chr2', 5690000, 5700000), ('chr2', 218990000, 219000000))	213300000.0	100000000	SOX11	CRYBA2
73	('chr17', 14300000, 14320000)	('chr17', 79740000, 79860000)	chr17	14300000	14320000	chr17	79740000	79860000	(('chr17', 14300000, 14320000), ('chr17', 79740000, 79860000))	65490000.0	2400000000	HS3ST3B1,MGC12916,AC005224.2	CBX2,CBX8,CBX4,AC100791.2,LINC01977
74	('chr2', 19350000, 19360000)	('chr2', 173350000, 173360000)	chr2	19350000	19360000	chr2	173350000	173360000	(('chr2', 19350000, 19360000), ('chr2', 173350000, 173360000))	154000000.0	100000000	OSR1	CDCA7
75	('chr2', 45000000, 45010000)	('chr2', 174320000, 174350000)	chr2	45000000	45010000	chr2	174320000	174350000	(('chr2', 45000000, 45010000), ('chr2', 174320000, 174350000))	129330000.0	300000000	SIX2	SP9,LINC01305,AC018470.1
76	('chr2', 156315000, 156345000)	('chr2', 161410000, 161430000)	chr2	156315000	156345000	chr2	161410000	161430000	(('chr2', 156315000, 156345000), ('chr2', 161410000, 161430000))	5090000.0	600000000	NR4A2,AC074099.1	TBR1
77	('chr6', 10370000, 10420000)	('chr6', 27500000, 27570000)	chr6	10370000	10420000	chr6	27500000	27570000	(('chr6', 10370000, 10420000), ('chr6', 27500000, 27570000))	17140000.0	3500000000	TFAP2A,TFAP2A-AS1,TFAP2A-AS2	HNRNPA1P1,CD83P1
78	('chr1', 47430000, 47440000)	('chr1', 220880000, 220890000)	chr1	47430000	47440000	chr1	220880000	220890000	(('chr1', 47430000, 47440000), ('chr1', 220880000, 220890000))	173450000.0	100000000	FOXD2,FOXD2-AS1	HLX,HLX-AS1
79	('chr10', 101120000, 101150000)	('chr10', 118230000, 118240000)	chr10	101120000	101150000	chr10	118230000	118240000	(('chr10', 101120000, 101150000), ('chr10', 118230000, 118240000))	17100000.0	300000000	TLX1,TLX1NB	AL354863.1
80	('chr2', 19350000, 19360000)	('chr2', 63050000, 63060000)	chr2	19350000	19360000	chr2	63050000	63060000	(('chr2', 19350000, 19360000), ('chr2', 63050000, 63060000))	43700000.0	100000000	OSR1	OTX1
81	('chr2', 173350000, 173360000)	('chr2', 218990000, 219000000)	chr2	173350000	173360000	chr2	218990000	219000000	(('chr2', 173350000, 173360000), ('chr2', 218990000, 219000000))	45640000.0	100000000	CDCA7	CRYBA2
82	('chr2', 199450000, 199480000)	('chr2', 222250000, 222318000)	chr2	199450000	199480000	chr2	222250000	222318000	(('chr2', 199450000, 199480000), ('chr2', 222250000, 222318000))	22819000.0	2040000000	SATB2,SATB2-AS1	PAX3,CCDC140
83	('chr4', 8830000, 8910000)	('chr4', 54220000, 54230000)	chr4	8830000	8910000	chr4	54220000	54230000	(('chr4', 8830000, 8910000), ('chr4', 54220000, 54230000))	45355000.0	800000000	HMX1	PDGFRA
84	('chr2', 118830000, 118840000)	('chr2', 218990000, 219000000)	chr2	118830000	118840000	chr2	218990000	219000000	(('chr2', 118830000, 118840000), ('chr2', 218990000, 219000000))	100160000.0	100000000	EN1,LINC01956	CRYBA2
85	('chr7', 25840000, 25870000)	('chr7', 129780000, 129790000)	chr7	25840000	25870000	chr7	129780000	129790000	(('chr7', 25840000, 25870000), ('chr7', 129780000, 129790000))	103930000.0	300000000	-	MIR96,MIR182,AC084864.1
86	('chr2', 5690000, 5700000)	('chr2', 70880000, 70890000)	chr2	5690000	5700000	chr2	70880000	70890000	(('chr2', 5690000, 5700000), ('chr2', 70880000, 70890000))	65190000.0	100000000	SOX11	VAX2,LINC01143,RF02272
87	('chr1', 18630000, 18640000)	('chr1', 90830000, 90840000)	chr1	18630000	18640000	chr1	90830000	90840000	(('chr1', 18630000, 18640000), ('chr1', 90830000, 90840000))	72200000.0	100000000	PAX7	AC091614.2,AL590094.1
88	('chr2', 5690000, 5700000)	('chr2', 236155000, 236185000)	chr2	5690000	5700000	chr2	236155000	236185000	(('chr2', 5690000, 5700000), ('chr2', 236155000, 236185000))	230475000.0	300000000	SOX11	GBX2,AC019068.1
89	('chr2', 72910000, 72920000)	('chr2', 113270000, 113280000)	chr2	72910000	72920000	chr2	113270000	113280000	(('chr2', 72910000, 72920000), ('chr2', 113270000, 113280000))	40360000.0	100000000	EMX1	PAX8
90	('chr7', 27080000, 27260000)	('chr7', 35230000, 35260000)	chr7	27080000	27260000	chr7	35230000	35260000	(('chr7', 27080000, 27260000), ('chr7', 35230000, 35260000))	8075000.0	5400000000	HOXA1,HOXA2,HOXA3,HOXA4,HOXA5,HOXA6,HOXA7,HOXA9,HOXA10,HOXA11,HOXA13,RF01975,HOTAIRM1,RF01976,RF01979,HOXA-AS2,HOXA-AS3,AC004080.6,AC004080.5,AC004080.4,HOXA10-AS,AC004080.3,HOXA11-AS,RF02142,AC004080.2,RF02040,HOTTIP,RF02043	TBX20,AC009531.1
91	('chr2', 66430000, 66440000)	('chr2', 72910000, 72920000)	chr2	66430000	66440000	chr2	72910000	72920000	(('chr2', 66430000, 66440000), ('chr2', 72910000, 72920000))	6480000.0	100000000	MEIS1	EMX1
93	('chr2', 74455000, 74465000)	('chr2', 172075000, 172115000)	chr2	74455000	74465000	chr2	172075000	172115000	(('chr2', 74455000, 74465000), ('chr2', 172075000, 172115000))	97635000.0	400000000	INO80B,WBP1,MOGS	DLX1,DLX2
94	('chr11', 20140000, 20180000)	('chr11', 122960000, 123000000)	chr11	20140000	20180000	chr11	122960000	123000000	(('chr11', 20140000, 20180000), ('chr11', 122960000, 123000000))	102820000.0	1600000000	DBX1	BSX
95	('chr14', 36480000, 36530000)	('chr14', 60630000, 60670000)	chr14	36480000	36530000	chr14	60630000	60670000	(('chr14', 36480000, 36530000), ('chr14', 60630000, 60670000))	24145000.0	2000000000	SFTA3,NKX2-1	SIX1,SALRNA1
96	('chr2', 118218000, 118228000)	('chr2', 170350000, 170360000)	chr2	118218000	118228000	chr2	170350000	170360000	(('chr2', 118218000, 118228000), ('chr2', 170350000, 170360000))	52132000.0	100000000	THORLNC	MYO3B,AC012594.1
97	('chr3', 128480000, 128490000)	('chr3', 181695000, 181730000)	chr3	128480000	128490000	chr3	181695000	181730000	(('chr3', 128480000, 128490000), ('chr3', 181695000, 181730000))	53227500.0	350000000	GATA2,GATA2-AS1	SOX2,RF01954,SOX2-OT
98	('chr2', 70880000, 70890000)	('chr2', 118830000, 118840000)	chr2	70880000	70890000	chr2	118830000	118840000	(('chr2', 70880000, 70890000), ('chr2', 118830000, 118840000))	47950000.0	100000000	VAX2,LINC01143,RF02272	EN1,LINC01956
99	('chr2', 113270000, 113280000)	('chr2', 222250000, 222318000)	chr2	113270000	113280000	chr2	222250000	222318000	(('chr2', 113270000, 113280000), ('chr2', 222250000, 222318000))	109009000.0	680000000	PAX8	PAX3,CCDC140
100	('chr3', 158080000, 158110000)	('chr3', 169640000, 169670000)	chr3	158080000	158110000	chr3	169640000	169670000	(('chr3', 158080000, 158110000), ('chr3', 169640000, 169670000))	11560000.0	900000000	SHOX2,RSRC1	MECOM
101	('chr2', 66430000, 66440000)	('chr2', 222250000, 222318000)	chr2	66430000	66440000	chr2	222250000	222318000	(('chr2', 66430000, 66440000), ('chr2', 222250000, 222318000))	155849000.0	680000000	MEIS1	PAX3,CCDC140
102	('chr13', 52850000, 52860000)	('chr13', 94690000, 94730000)	chr13	52850000	52860000	chr13	94690000	94730000	(('chr13', 52850000, 52860000), ('chr13', 94690000, 94730000))	41855000.0	400000000	PCDH8	SOX21,SOX21-AS1
103	('chr7', 1210000, 1260000)	('chr7', 35230000, 35260000)	chr7	1210000	1260000	chr7	35230000	35260000	(('chr7', 1210000, 1260000), ('chr7', 35230000, 35260000))	34010000.0	1500000000	UNCX	TBX20,AC009531.1
104	('chr6', 27500000, 27570000)	('chr6', 84730000, 84780000)	chr6	27500000	27570000	chr6	84730000	84780000	(('chr6', 27500000, 27570000), ('chr6', 84730000, 84780000))	57220000.0	3500000000	HNRNPA1P1,CD83P1	TBX18
105	('chr1', 44410000, 44420000)	('chr1', 90710000, 90735000)	chr1	44410000	44420000	chr1	90710000	90735000	(('chr1', 44410000, 44420000), ('chr1', 90710000, 90735000))	46307500.0	250000000	RNF220	BARHL2
106	('chr1', 118970000, 119010000)	('chr1', 180230000, 180240000)	chr1	118970000	119010000	chr1	180230000	180240000	(('chr1', 118970000, 119010000), ('chr1', 180230000, 180240000))	61245000.0	400000000	TBX15,AL139420.2	LHX4
107	('chr7', 129780000, 129790000)	('chr7', 156990000, 157040000)	chr7	129780000	129790000	chr7	156990000	157040000	(('chr7', 129780000, 129790000), ('chr7', 156990000, 157040000))	27230000.0	500000000	MIR96,MIR182,AC084864.1	MNX1,MNX1-AS1
108	('chr6', 50820000, 50850000)	('chr6', 100430000, 100480000)	chr6	50820000	50850000	chr6	100430000	100480000	(('chr6', 50820000, 50850000), ('chr6', 100430000, 100480000))	49620000.0	1500000000	TFAP2B	SIM1
109	('chr3', 158080000, 158110000)	('chr3', 169120000, 169155000)	chr3	158080000	158110000	chr3	169120000	169155000	(('chr3', 158080000, 158110000), ('chr3', 169120000, 169155000))	11042500.0	1050000000	SHOX2,RSRC1	MECOM
110	('chr4', 13520000, 13550000)	('chr4', 80260000, 80270000)	chr4	13520000	13550000	chr4	80260000	80270000	(('chr4', 13520000, 13550000), ('chr4', 80260000, 80270000))	66730000.0	300000000	NKX3-2,LINC01097,LINC01096	FGF5
